City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Siuna,NI,2022-08-11 03:15:12,13.7332,-84.7773,72.86,97,98,2.84,overcast clouds
185,Mahebourg,MU,2022-08-11 03:15:12,-20.4081,57.7,68.29,68,75,16.11,broken clouds
186,Vondrozo,MG,2022-08-11 03:15:12,-22.8167,47.2833,56.61,92,51,2.24,light rain
187,Georgetown,MY,2022-08-11 03:11:18,5.4112,100.3354,87.89,73,20,5.75,haze
188,Petropavlovsk-Kamchatskiy,RU,2022-08-11 03:15:13,53.0452,158.6483,64.99,68,75,8.95,broken clouds
189,Akyab,MM,2022-08-11 03:15:13,20.15,92.9,80.1,85,100,11.25,overcast clouds
190,Egvekinot,RU,2022-08-11 03:15:13,66.3167,-179.1667,60.24,65,22,6.24,few clouds
191,Saint-Augustin,CA,2022-08-11 03:12:00,51.226,-58.6502,56.28,89,0,8.39,clear sky
192,Fortuna,US,2022-08-11 03:14:01,40.5982,-124.1573,66.34,94,40,9.22,scattered clouds
193,Ust-Koksa,RU,2022-08-11 03:15:14,50.2696,85.6108,68.27,53,36,0.85,scattered clouds
194,Butaritari,KI,2022-08-11 03:15:14,3.0707,172.7902,81.88,74,13,14.09,few clouds
195,Gambela,ET,2022-08-11 03:15:15,8.25,34.5833,69.71,97,100,4.34,light rain
196,Karak,JO,2022-08-11 03:15:15,31.1667,35.75,65.44,71,0,6.26,clear sky
197,Kahului,US,2022-08-11 03:13:31,20.8947,-156.47,87.82,62,20,27.63,few clouds
198,Ust-Ilimsk,RU,2022-08-11 03:15:15,58.0006,102.6619,59.11,90,100,3.4,overcast clouds
199,Husavik,IS,2022-08-11 03:15:16,66.0449,-17.3389,46.24,82,100,4.74,overcast clouds
200,Severo-Kurilsk,RU,2022-08-11 03:15:16,50.6789,156.125,61.05,79,9,7.92,clear sky
201,Xudat,AZ,2022-08-11 03:15:17,41.631,48.681,78.28,54,0,7.56,clear sky
202,Beyneu,KZ,2022-08-11 03:15:17,45.3167,55.2,81.93,31,0,6.58,clear sky
203,Virginia Beach,US,2022-08-11 03:12:37,36.8529,-75.978,78.03,80,75,8.05,broken clouds
204,Svay Rieng,KH,2022-08-11 03:15:18,11.0879,105.7993,84.27,66,100,15.79,overcast clouds
205,Belaya Gora,RU,2022-08-11 03:15:19,68.5333,146.4167,71.17,51,86,5.84,overcast clouds
206,Chuy,UY,2022-08-11 03:15:20,-33.6971,-53.4616,48.33,86,100,3.2,overcast clouds
207,Vardo,NO,2022-08-11 03:15:20,70.3705,31.1107,57.18,88,40,6.91,light intensity shower rain
208,Saint-Jean-Port-Joli,CA,2022-08-11 03:15:21,47.2171,-70.2658,61.81,84,100,15.43,overcast clouds
209,High Rock,BS,2022-08-11 03:15:21,26.6208,-78.2833,83.39,73,4,13.71,clear sky
210,Vao,NC,2022-08-11 03:13:23,-22.6667,167.4833,68.0,57,0,21.97,clear sky
211,Tiebissou,CI,2022-08-11 03:15:22,7.1574,-5.2257,71.69,97,71,4.76,broken clouds
212,Mackenzie,CA,2022-08-11 03:15:11,55.2999,-123.1698,73.87,49,0,2.91,clear sky
213,Houma,US,2022-08-11 03:15:22,29.5958,-90.7195,79.0,93,40,0.0,scattered clouds
214,Dunedin,NZ,2022-08-11 03:15:22,-45.8742,170.5036,45.81,62,60,3.0,broken clouds
215,Port Hardy,CA,2022-08-11 03:12:38,50.6996,-127.4199,59.72,96,98,0.49,light rain
216,Bonavista,CA,2022-08-11 03:15:23,48.6499,-53.1147,56.77,74,100,7.56,overcast clouds
217,Aklavik,CA,2022-08-11 03:14:53,68.2191,-135.0107,61.3,41,96,8.16,overcast clouds
218,Zeya,RU,2022-08-11 03:15:23,53.75,127.2667,63.91,78,100,2.3,light rain
219,Buchanan,LR,2022-08-11 03:15:23,5.8808,-10.0467,75.18,85,99,8.81,overcast clouds
220,Chapais,CA,2022-08-11 03:15:24,49.7834,-74.8492,55.13,95,33,6.38,scattered clouds
221,Soyo,AO,2022-08-11 03:15:24,-6.1349,12.3689,69.64,88,92,8.03,overcast clouds
222,Saskylakh,RU,2022-08-11 03:12:57,71.9167,114.0833,49.6,70,100,14.81,overcast clouds
223,Mar Del Plata,AR,2022-08-11 03:15:25,-38.0023,-57.5575,46.87,87,0,13.0,clear sky
224,Calabozo,VE,2022-08-11 03:16:25,8.9242,-67.4293,71.37,98,82,3.42,broken clouds
225,Ormara,PK,2022-08-11 03:16:25,25.2088,64.6357,84.92,74,100,8.52,overcast clouds
226,Murray Bridge,AU,2022-08-11 03:16:26,-35.1167,139.2667,62.13,39,2,18.66,clear sky
227,Neiafu,TO,2022-08-11 03:16:26,-18.65,-173.9833,83.08,78,40,8.05,scattered clouds
228,Vestmannaeyjar,IS,2022-08-11 03:16:26,63.4427,-20.2734,50.79,82,97,9.71,overcast clouds
229,Poum,NC,2022-08-11 03:14:43,-20.2333,164.0167,71.76,56,1,21.32,clear sky
230,West Bay,KY,2022-08-11 03:16:27,19.3667,-81.4167,82.99,87,20,5.75,few clouds
231,Barreirinhas,BR,2022-08-11 03:16:28,-2.7469,-42.8264,75.72,86,43,4.97,scattered clouds
232,Yaan,NG,2022-08-11 03:16:29,7.3833,8.5667,72.27,97,100,7.0,overcast clouds
233,Cidreira,BR,2022-08-11 03:16:29,-30.1811,-50.2056,58.44,80,79,4.85,broken clouds
234,Malitubog,PH,2022-08-11 03:16:29,7.3156,124.6381,86.11,70,78,1.88,broken clouds
235,Aripuana,BR,2022-08-11 03:16:30,-9.1667,-60.6333,71.17,64,17,2.89,few clouds
236,Nome,US,2022-08-11 03:16:30,64.5011,-165.4064,52.16,82,100,4.61,overcast clouds
237,Faanui,PF,2022-08-11 03:16:30,-16.4833,-151.75,78.3,70,11,7.14,few clouds
238,Acarau,BR,2022-08-11 03:16:31,-2.8856,-40.12,76.03,85,76,13.44,broken clouds
239,Leningradskiy,RU,2022-08-11 03:16:31,69.3833,178.4167,46.98,80,65,6.64,broken clouds
240,Seondha,IN,2022-08-11 03:16:31,26.1578,78.7797,84.42,68,100,21.09,moderate rain
241,Luanda,AO,2022-08-11 03:13:57,-8.8368,13.2343,68.0,88,75,3.44,broken clouds
242,Ha Tinh,VN,2022-08-11 03:16:32,18.3333,105.9,83.64,74,100,6.06,light rain
243,Sterling,US,2022-08-11 03:12:34,39.0062,-77.4286,73.22,97,100,6.91,overcast clouds
244,Sasso Marconi,IT,2022-08-11 03:16:33,44.3995,11.2495,72.5,75,0,2.3,clear sky
245,Valparaiso,CL,2022-08-11 03:16:33,-33.0393,-71.6273,51.48,98,0,4.61,clear sky
246,Luis Correia,BR,2022-08-11 03:16:33,-2.8792,-41.6669,76.17,82,98,10.74,overcast clouds
247,Regidor,CO,2022-08-11 03:16:34,8.6657,-73.8215,78.12,85,100,1.03,overcast clouds
248,Tevaitoa,PF,2022-08-11 03:16:34,-16.7833,-151.5,77.81,72,2,8.5,light rain
249,Iqaluit,CA,2022-08-11 03:14:54,63.7506,-68.5145,41.13,85,9,3.49,clear sky
250,Victoria,HK,2022-08-11 03:16:34,22.2855,114.1577,87.04,89,92,3.0,light rain
251,San-Pedro,CI,2022-08-11 03:16:34,4.7485,-6.6363,74.79,82,100,7.23,overcast clouds
252,Srandakan,ID,2022-08-11 03:16:35,-7.9386,110.2506,82.72,74,66,10.63,broken clouds
253,Asbe Teferi,ET,2022-08-11 03:16:35,9.0833,40.8667,57.34,86,99,7.0,overcast clouds
254,Bac Lieu,VN,2022-08-11 03:13:54,9.285,105.7244,80.83,80,100,10.07,overcast clouds
255,Mount Isa,AU,2022-08-11 03:13:53,-20.7333,139.5,78.57,21,18,5.75,few clouds
256,Gimli,CA,2022-08-11 03:16:36,50.6336,-96.9907,61.61,65,4,6.04,clear sky
257,Sakakah,SA,2022-08-11 03:12:50,29.9697,40.2064,88.27,28,0,6.71,clear sky
258,Fairbanks,US,2022-08-11 03:16:36,64.8378,-147.7164,67.01,42,0,4.61,clear sky
259,Vilyuysk,RU,2022-08-11 03:16:37,63.7553,121.6247,73.36,51,73,6.02,broken clouds
260,Mount Gambier,AU,2022-08-11 03:16:37,-37.8333,140.7667,53.87,81,69,10.71,broken clouds
