City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Toccoa,US,76.66,overcast clouds,34.5773,-83.3324,Quality Inn
392,Mayahi,NE,83.84,overcast clouds,13.9553,7.6712,
393,Phuket,TH,86.22,scattered clouds,8.0,98.25,The Surin
416,Nishihara,JP,87.08,haze,26.1842,127.7558,Minshuku Agaihama
424,Thinadhoo,MV,82.02,clear sky,0.5333,72.9333,
426,Trairi,BR,76.46,broken clouds,-3.2778,-39.2689,janelas do mar
430,Kalbay,PH,84.11,scattered clouds,5.7233,125.4986,
436,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Green leaf
437,Laguna,US,84.92,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
440,Ataco,CO,75.15,overcast clouds,3.5915,-75.3818,Hotel y Restaurante El Ganadero
443,Nichinan,JP,87.48,broken clouds,31.6,131.3667,Guest House Aki
449,Tessalit,ML,87.58,scattered clouds,20.1986,1.0114,
451,Abu Kamal,SY,80.69,clear sky,34.4506,40.9171,البوكمال
452,Kulhudhuffushi,MV,81.97,overcast clouds,6.6221,73.07,Haajy Guest House 1
453,Mundra,IN,84.07,overcast clouds,22.85,69.7333,Hotel Bansidhar Palace
455,Eyl,SO,77.43,broken clouds,7.9803,49.8164,Amiin Hotel
456,Kilindoni,TZ,75.65,scattered clouds,-7.9139,39.6668,Bustani B&B
458,Manavalakurichi,IN,80.06,overcast clouds,8.1333,77.3,Jebinrio home
461,Beihai,CN,81.86,overcast clouds,21.4833,109.1,21 Degree Hostel
462,Tuy Hoa,VN,88.45,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
469,Dahuk,IQ,79.97,clear sky,36.8695,42.994,Parwar Hotel
471,Dingli,MT,76.82,few clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
474,Emilio Carranza,MX,79.11,broken clouds,19.9711,-96.6114,Hotel Carranza Inn
482,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
483,Sanchez,DO,76.6,broken clouds,19.2281,-69.6137,Apartamentos Rincon La Roca
485,Dingzhou,CN,84.31,broken clouds,38.5131,114.9956,宜家时尚宾馆
488,Somerset,US,79.45,broken clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
490,Tabuk,PH,85.03,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
495,Kant,IN,85.96,heavy intensity rain,27.8,79.8,Sumit Verma
501,Zhanaozen,KZ,81.57,clear sky,43.3,52.8,K.korabay 28A
504,Indramayu,ID,85.01,few clouds,-6.3264,108.32,Grand Trisula Hotel
505,Pangkalanbuun,ID,88.05,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
507,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
510,Singaraja,ID,83.3,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
516,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
517,Rock Springs,US,81.84,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
521,Fare,PF,77.76,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
524,Aksu,CN,81.55,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
525,Shar,KZ,78.98,scattered clouds,49.5886,81.0453,
531,San Javier,ES,78.98,clear sky,37.8063,-0.8374,Hotel Mar Menor
533,Marawi,PH,80.51,scattered clouds,7.9986,124.2928,Derogongan Residence
535,Kavieng,PG,83.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
538,Kibala,TD,75.15,scattered clouds,9.1104,18.3463,Prasant Hotels
539,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
541,Hoa Binh,VN,75.38,heavy intensity rain,20.8133,105.3383,Hoa Dao Hotel
543,Vanimo,PG,83.17,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
546,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
555,Xinpu,CN,86.14,overcast clouds,34.5997,119.1594,Pattaya Leisure Hotel
557,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
558,Labuhan,ID,84.96,broken clouds,-6.8844,112.2051,DoubleFAG
560,Sompeta,IN,83.52,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
561,Wanning,CN,85.05,light rain,18.8003,110.3967,Paradise Hotel
566,Sacramento,US,84.78,clear sky,38.4666,-121.3177,Woodside Homes
568,Moba,CN,75.13,broken clouds,33.2288,105.0179,Xinlong Hotel
570,Hobyo,SO,76.37,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
572,Payo,ID,86.81,scattered clouds,-3.7508,103.6372,Mess keban agung
576,Ouahigouya,BF,79.25,broken clouds,13.5828,-2.4216,Hotel Liberte
578,Jalu,LY,77.41,clear sky,29.0331,21.5482,صاحبة الفخامة
581,Madera,US,89.69,clear sky,37.1666,-119.8343,
582,Kailua,US,87.78,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
584,Phan Thiet,VN,83.5,overcast clouds,10.9333,108.1,Hotel Saigon-PT
586,Shimoda,JP,83.1,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
587,Muli,MV,80.89,few clouds,2.9167,73.5667,Medhufushi Island Resort
591,Porbandar,IN,81.64,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
596,Kieta,PG,85.48,light rain,-6.2167,155.6333,Uruna Bay Retreat
604,Cape Canaveral,US,85.06,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
610,Vung Tau,VN,80.44,overcast clouds,10.346,107.0843,Seaside Resort
611,Benghazi,LY,80.55,clear sky,32.1167,20.0667,Tibesti Hotel
